Author1,Author2,Author1-Author2 Link weight,Community ID,Common Genres
Stephen E. Ambrose,Michael Schofield,0.004970236995998768,0,{'Nonfiction'}
Stephen E. Ambrose,Nigel Rees,0.022612512696214223,0,"{'Biography', 'Nonfiction'}"
Stephen E. Ambrose,Wayne A. Grudem,0.004932102185287781,0,{'Nonfiction'}
Stephen E. Ambrose,Catherine Claire Larson,0.018275412867420744,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Mary Karr,0.022612512696214223,0,"{'Biography', 'Nonfiction'}"
Stephen E. Ambrose,Ann Rule,0.005084641428131732,0,{'Nonfiction'}
Stephen E. Ambrose,Philip Yancey,0.00532616189596799,0,{'Nonfiction'}
Stephen E. Ambrose,Lafcadio Hearn,0.012195760689960304,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Leonard Mlodinow,0.004957525392428439,0,{'Nonfiction'}
Stephen E. Ambrose,Eric Ludy,0.005402431517389966,0,{'Nonfiction'}
Stephen E. Ambrose,Richard Elliott Friedman,0.017178043965450907,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,David E. Stuart,0.005554970760233918,0,{'Nonfiction'}
Stephen E. Ambrose,Wendy J. Glenn,0.023192320714065868,0,"{'Biography', 'Nonfiction'}"
Stephen E. Ambrose,Yasmin Mogahed,0.005643951985226224,0,{'Nonfiction'}
Stephen E. Ambrose,Ben Carson,0.025279629578331797,0,"{'Biography', 'Nonfiction'}"
Stephen E. Ambrose,Ramon Bautista,0.004957525392428439,0,{'Nonfiction'}
Stephen E. Ambrose,Robin S. Sharma,0.005033795013850415,0,{'Nonfiction'}
Stephen E. Ambrose,Tim Flannery,0.017768934912665433,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Harriet Ann Jacobs,0.02558472130527342,0,"{'Biography', 'History', 'Nonfiction'}"
Stephen E. Ambrose,Joe McGinniss,0.005300738688827331,0,{'Nonfiction'}
Stephen E. Ambrose,Rocky Lang,0.004194829178208679,0,{'Nonfiction'}
Stephen E. Ambrose,Seumas Milne,0.017642315423976603,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Joseph Rykwert,0.01688259849184364,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Holly Wagner,0.00532616189596799,0,{'Nonfiction'}
Stephen E. Ambrose,Jamaica Kincaid,0.0049829485995690976,0,{'Nonfiction'}
Stephen E. Ambrose,Alistair Urquhart,0.02783667721478404,0,"{'Biography', 'History', 'Nonfiction'}"
Stephen E. Ambrose,Tori Spelling,0.020989050246229612,0,"{'Biography', 'Nonfiction'}"
Stephen E. Ambrose,Rayne Hall,0.005377008310249307,0,{'Nonfiction'}
Stephen E. Ambrose,Richard Wurmbrand,0.027211133906586638,0,"{'Biography', 'History', 'Nonfiction'}"
Stephen E. Ambrose,Viral Dalal,0.005237180670975684,0,{'Nonfiction'}
Stephen E. Ambrose,Steve Snyder,0.02727368823740638,0,"{'Biography', 'History', 'Nonfiction'}"
Stephen E. Ambrose,Steve C. Halbrook,0.034273263888888884,0,{'History'}
Stephen E. Ambrose,David Nasaw,0.7417429090027698,0,"{'History', 'North American Hi...', 'Nonfiction', 'American History', 'Biography'}"
Stephen E. Ambrose,Steve Coll,0.018106586882502305,0,"{'History', 'Nonfiction'}"
Stephen E. Ambrose,Andy Rose,0.005987165281625115,0,{'Nonfiction'}
Stephen E. Ambrose,Norman R. Yetman,0.8110471707025239,0,"{'History', 'North American Hi...', 'Nonfiction', 'American History', 'Biography'}"
Alan W. Watts,Bob Ong,0.0050561403508771925,0,{'Nonfiction'}
Alan W. Watts,Leanda de Lisle,0.0050818713450292395,0,{'Nonfiction'}
Alan W. Watts,Eric Blehm,0.005840935672514619,0,{'Nonfiction'}
Alan W. Watts,Abbey Sy,0.005519298245614034,0,{'Nonfiction'}
Alan W. Watts,N.T. Wright,0.04884425349087003,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Reader's Digest Association,0.0056093567251461985,0,{'Nonfiction'}
Alan W. Watts,Paul Carter,0.004927485380116958,0,{'Nonfiction'}
Alan W. Watts,Daniel Lapin,0.04545229144289293,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Michael Schofield,0.005030409356725145,0,{'Nonfiction'}
Alan W. Watts,Nigel Rees,0.22892543859649117,0,"{'Philosophy', 'Nonfiction'}"
Alan W. Watts,Mary Karr,0.005017543859649121,0,{'Nonfiction'}
Alan W. Watts,Ann Rule,0.005146198830409355,0,{'Nonfiction'}
Alan W. Watts,Philip Yancey,0.04737440327007997,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Lafcadio Hearn,0.010245498804482467,0,{'Nonfiction'}
Alan W. Watts,Leonard Mlodinow,0.005017543859649121,0,{'Nonfiction'}
Alan W. Watts,Eric Ludy,0.00546783625730994,0,{'Nonfiction'}
Alan W. Watts,Richard Elliott Friedman,0.04601761845088912,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Truman Capote,0.005223391812865495,0,{'Nonfiction'}
Alan W. Watts,David E. Stuart,0.005622222222222221,0,{'Nonfiction'}
Alan W. Watts,Mark Bowden,0.005069005847953214,0,{'Nonfiction'}
Alan W. Watts,Hugh Thomas,0.005506432748538011,0,{'Nonfiction'}
Alan W. Watts,Wendy J. Glenn,0.005146198830409355,0,{'Nonfiction'}
Alan W. Watts,Yasmin Mogahed,0.05020103831006087,0,"{'Nonfiction', 'Religion'}"
Alan W. Watts,Ben Carson,0.0056093567251461985,0,{'Nonfiction'}
Alan W. Watts,Christine Sparks,0.005081871345029239,0,{'Nonfiction'}
Alan W. Watts,Gary Paulsen,0.00546783625730994,0,{'Nonfiction'}
Alan W. Watts,Grace Helbig,0.005171929824561401,0,{'Nonfiction'}
Alan W. Watts,Ramon Bautista,0.005017543859649121,0,{'Nonfiction'}
Alan W. Watts,Robin S. Sharma,0.7680315789473683,0,"{'Philosophy', 'Nonfiction', 'Spirituality'}"
Alan W. Watts,Tim Flannery,0.005416374269005847,0,{'Nonfiction'}
Alan W. Watts,Valorie Burton,0.0053520467836257295,0,{'Nonfiction'}
Alan W. Watts,Augusten Burroughs,0.005107602339181286,0,{'Nonfiction'}
Alan W. Watts,Harriet Ann Jacobs,0.005261988304093566,0,{'Nonfiction'}
Alan W. Watts,Joe McGinniss,0.005364912280701753,0,{'Nonfiction'}
Alan W. Watts,Rocky Lang,0.004245614035087718,0,{'Nonfiction'}
Alan W. Watts,Seumas Milne,0.005377777777777776,0,{'Nonfiction'}
Alan W. Watts,Joseph Rykwert,0.005146198830409355,0,{'Nonfiction'}
Alan W. Watts,Laurence Bergreen,0.0053520467836257295,0,{'Nonfiction'}
Alan W. Watts,Holly Wagner,0.9757064327485379,0,"{'Nonfiction', 'Spirituality'}"
Alan W. Watts,Jamaica Kincaid,0.005043274853801168,0,{'Nonfiction'}
Alan W. Watts,Alistair Urquhart,0.005725146198830407,0,{'Nonfiction'}
Alan W. Watts,Tori Spelling,0.004657309941520467,0,{'Nonfiction'}
Alan W. Watts,Rayne Hall,0.005442105263157894,0,{'Nonfiction'}
